Affiliations                                 	   Record Count	       % of 2,094
UNIVERSITY OF STUTTGART                      	              5	     0.239
UNIVERSITY OF SYDNEY                         	              5	     0.239
UNIVERSITY OF TECHNOLOGY IRAQ                	              5	     0.239
UNIVERSITY OF VICTORIA                       	              5	     0.239
WONKWANG UNIVERSITY                          	              5	     0.239
WUHAN INSTITUTE OF ROCK SOIL MECHANICS CAS   	              5	     0.239
ALIGARH MUSLIM UNIVERSITY                    	              4	     0.191
BANDUNG STATE POLYTECHNIC                    	              4	     0.191
BEIHANG UNIVERSITY                           	              4	     0.191
CANKIRI KARATEKIN UNIVERSITY                 	              4	     0.191
CAPITAL UNIVERSITY OF SCIENCE TECHNOLOGY     	              4	     0.191
CHULALONGKORN UNIVERSITY                     	              4	     0.191
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFIC	              4	     0.191
AS Y TECNICAS CONICET                        	               	          
EINDHOVEN UNIVERSITY OF TECHNOLOGY           	              4	     0.191
GUANGDONG UNIVERSITY OF TECHNOLOGY           	              4	     0.191
GUANGXI UNIVERSITY                           	              4	     0.191
HONGIK UNIVERSITY                            	              4	     0.191
HOUSING BUILDING NATIONAL RESEARCH CENTER HBR	              4	     0.191
C                                            	               	          
IMPERIAL COLLEGE LONDON                      	              4	     0.191
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY ANA	              4	     0.191
NTAPUR                                       	               	          
JOHANNES GUTENBERG UNIVERSITY OF MAINZ       	              4	     0.191
KARLSRUHE INSTITUTE OF TECHNOLOGY            	              4	     0.191
KITAMI INSTITUTE OF TECHNOLOGY               	              4	     0.191
KONKUK UNIVERSITY                            	              4	     0.191
KONYA TECHNICAL UNIVERSITY                   	              4	     0.191
KOREA INSTITUTE OF CIVIL ENGINEERING BUILDING	              4	     0.191
TECHNOLOGY KICT                              	               	          
LOUGHBOROUGH UNIVERSITY                      	              4	     0.191
MEHRAN UNIVERSITY ENGINEERING TECHNOLOGY     	              4	     0.191
MIDDLE EAST TECHNICAL UNIVERSITY             	              4	     0.191
MINIST ECOL ENVIRONM CHINA                   	              4	     0.191
MINIST EDUC                                  	              4	     0.191
MONTANA STATE UNIVERSITY BOZEMAN             	              4	     0.191
MONTANA STATE UNIVERSITY SYSTEM              	              4	     0.191
MOSCOW STATE UNIVERSITY OF CIVIL ENGINEERING 	              4	     0.191
MURORAN INSTITUTE OF TECHNOLOGY              	              4	     0.191
NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA   	              4	     0.191
NATIONAL INSTITUTE OF TECHNOLOGY RAIPUR      	              4	     0.191
NIGDE OMER HALISDEMIR UNIVERSITY             	              4	     0.191
NORTHEAST FORESTRY UNIV                      	              4	     0.191
POLISH ACADEMY OF SCIENCES                   	              4	     0.191
PUKYONG NATIONAL UNIVERSITY                  	              4	     0.191
PURDUE UNIVERSITY                            	              4	     0.191
PURDUE UNIVERSITY SYSTEM                     	              4	     0.191
QUEENS UNIVERSITY CANADA                     	              4	     0.191
RIGA TECHNICAL UNIVERSITY                    	              4	     0.191
SHANMUGHA ARTS SCIENCE TECHNOLOGY RESEARCH AC	              4	     0.191
ADEMY SASTRA                                 	               	          
SHENYANG JIANZHU UNIVERSITY                  	              4	     0.191
SHIRAZ UNIVERSITY OF MEDICAL SCIENCE         	              4	     0.191
SICHUAN UNIVERSITY                           	              4	     0.191
SINOPEC                                      	              4	     0.191
SKANSKA SVERIGE AB                           	              4	     0.191
SOUTH URAL STATE UNIVERSITY                  	              4	     0.191
SRM INSTITUTE OF SCIENCE TECHNOLOGY CHENNAI  	              4	     0.191
STELLENBOSCH UNIVERSITY                      	              4	     0.191
SUZHOU UNIVERSITY OF SCIENCE TECHNOLOGY      	              4	     0.191
SWISS FEDERAL LABORATORIES FOR MATERIALS SCIE	              4	     0.191
NCE TECHNOLOGY EMPA                          	               	          
TEHRAN UNIVERSITY OF MEDICAL SCIENCES        	              4	     0.191
TIANJIN UNIV SHAOXING                        	              4	     0.191
TON DUC THANG UNIVERSITY                     	              4	     0.191
UNIVERSIDAD DE CORDOBA                       	              4	     0.191
UNIVERSIDADE CATOLICA DE PERNAMBUCO          	              4	     0.191
UNIVERSIDADE DO MINHO                        	              4	     0.191
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL   	              4	     0.191
UNIVERSIDADE FEDERAL DE PERNAMBUCO           	              4	     0.191
UNIVERSITAT JAUME I                          	              4	     0.191
UNIVERSITE DE RENNES                         	              4	     0.191
UNIVERSITE PARIS SACLAY                      	              4	     0.191
UNIVERSITI SAINS MALAYSIA                    	              4	     0.191
UNIVERSITY COLLEGE LONDON                    	              4	     0.191
UNIVERSITY OF BIRMINGHAM                     	              4	     0.191
UNIVERSITY OF HERTFORDSHIRE                  	              4	     0.191
UNIVERSITY OF SOUTHERN QUEENSLAND            	              4	     0.191
UNIVERSITY SYSTEM OF GEORGIA                 	              4	     0.191
VELLORE INSTITUTE OF TECHNOLOGY VIT          	              4	     0.191
VILNIUS GEDIMINAS TECHNICAL UNIVERSITY       	              4	     0.191
XI AN JIAOTONG UNIVERSITY                    	              4	     0.191
XI AN UNIVERSITY OF ARCHITECTURE TECHNOLOGY  	              4	     0.191
YOKOHAMA NATIONAL UNIVERSITY                 	              4	     0.191
ZHEJIANG UNIVERSITY OF TECHNOLOGY            	              4	     0.191
ACHARYA NAGARJUNA UNIVERSITY                 	              3	     0.143
ADANA ALPARSLAN TURKES SCIENCE TECHNOLOGY UNI	              3	     0.143
VERSITY                                      	               	          
AL MUSTAQBAL UNIVERSITY COLLEGE              	              3	     0.143
ANHUI JIANZHU UNIVERSITY                     	              3	     0.143
BEIJING BLDG MAT ACAD SCI RES                	              3	     0.143
BEIJING INSTITUTE OF TECHNOLOGY              	              3	     0.143
BEN GURION UNIVERSITY                        	              3	     0.143
BURSA TECHNICAL UNIVERSITY                   	              3	     0.143
BURSA ULUDAG UNIV                            	              3	     0.143
CHENGDU UNIVERSITY OF TECHNOLOGY             	              3	     0.143
CHINA BLDG MAT ACAD                          	              3	     0.143
CHINA CONSTRUCT IND ENERGY ENGN GRP CO LTD   	              3	     0.143
CHINA THREE GORGES UNIVERSITY                	              3	     0.143
CHUNG ANG UNIVERSITY                         	              3	     0.143
CNPC ENGN TECHNOL R D CO LTD                 	              3	     0.143
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSI	              3	     0.143
R INDIA                                      	               	          
CSIR STRUCTURAL ENGINEERING RESEARCH CENTER S	              3	     0.143
ERC                                          	               	          
CTR MINERAL TECHNOL CETEM                    	              3	     0.143
CUGLA BV                                     	              3	     0.143
CZECH ACADEMY OF SCIENCES                    	              3	     0.143
DAQING DRILLING EXPLORAT ENGN CO             	              3	     0.143
DUKE UNIVERSITY                              	              3	     0.143
ECOLE DE TECHNOLOGIE SUPERIEURE CANADA       	              3	     0.143
EGYPTIAN RUSSIAN UNIVERSITY                  	              3	     0.143
ERBIL POLYTECHNIC UNIVERSITY                 	              3	     0.143
FASA UNIV MED SCI                            	              3	     0.143
FEDERATION UNIVERSITY AUSTRALIA              	              3	     0.143
FIRAT UNIVERSITY                             	              3	     0.143
G PULLA REDDY ENGN COLL                      	              3	     0.143
GEORGIA INSTITUTE OF TECHNOLOGY              	              3	     0.143
HAINAN UNIVERSITY                            	              3	     0.143
HANGZHOU CITY UNIVERSITY                     	              3	     0.143
HERIOT WATT UNIVERSITY                       	              3	     0.143
IMT INSTITUT MINES TELECOM                   	              3	     0.143
INST AVANCADO TECNOL INOVACAO                	              3	     0.143
INSTITUTE OF FUNDAMENTAL TECHNOLOGICAL RESEAR	              3	     0.143
CH OF THE POLISH ACADEMY OF SCIENCES         	               	          
ISFAHAN UNIVERSITY OF TECHNOLOGY             	              3	     0.143
JINAN STOMATOL HOSP                          	              3	     0.143
KING ABDULAZIZ UNIVERSITY                    	              3	     0.143
KING FAISAL UNIVERSITY                       	              3	     0.143
KOREA NATIONAL UNIVERSITY OF TRANSPORTATION  	              3	     0.143
KRYTON INT INC                               	              3	     0.143
LANZHOU UNIVERSITY OF TECHNOLOGY             	              3	     0.143
LE MANS UNIVERSITE                           	              3	     0.143
LIVERPOOL JOHN MOORES UNIVERSITY             	              3	     0.143
MANSOURA UNIVERSITY                          	              3	     0.143
MICROPORE TECHNOL LTD                        	              3	     0.143
MUNZUR UNIVERSITY                            	              3	     0.143
NANJING TECH UNIVERSITY                      	              3	     0.143
NATIONAL INSTITUTE OF TECHNOLOGY CALICUT     	              3	     0.143
NATIONAL INSTITUTE OF TECHNOLOGY MEGHALAYA   	              3	     0.143
NATIONAL RESEARCH CENTRE NRC                 	              3	     0.143
NATIONAL TECHNICAL UNIVERSITY OF ATHENS      	              3	     0.143
NED UNIVERSITY OF ENGINEERING TECHNOLOGY     	              3	     0.143
NEWCASTLE UNIVERSITY UK                      	              3	     0.143
NINGXIA UNIVERSITY                           	              3	     0.143
NIRD URBAN INCERC CLUJ NAPOCA BRANCH         	              3	     0.143
OKAN UNIVERSITY                              	              3	     0.143
OKLAHOMA STATE UNIVERSITY STILLWATER         	              3	     0.143
OKLAHOMA STATE UNIVERSITY SYSTEM             	              3	     0.143
PENETRON ITALIA                              	              3	     0.143
PENNSYLVANIA STATE UNIVERSITY                	              3	     0.143
RAJALAKSHMI ENGINEERING COLLEGE              	              3	     0.143
SAHAND UNIVERSITY OF TECHNOLOGY              	              3	     0.143
SEBELAS MARET UNIVERSITY                     	              3	     0.143
SHANDONG AGRICULTURAL UNIVERSITY             	              3	     0.143
SHANXI SHENGKE MICROORGANISM BLDG MAT TECHNOL	              3	     0.143
CO L                                         	               	          
SHANXI UNIVERSITY                            	              3	     0.143
SHENYANG RES INST                            	              3	     0.143
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM     	              3	     0.143
STATE UNIVERSITY SYSTEM OF FLORIDA           	              3	     0.143
STONY BROOK UNIVERSITY                       	              3	     0.143
STRATEG INITIAT MAT SIM VZW                  	              3	     0.143
TECHNICAL UNIVERSITY OF DARMSTADT            	              3	     0.143
TECHNICAL UNIVERSITY OF MUNICH               	              3	     0.143
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY      	              3	     0.143
TEXAS STATE UNIVERSITY SYSTEM                	              3	     0.143
THAMMASAT UNIVERSITY                         	              3	     0.143
UBT UNIVERSITY FOR BUSINESS TECHNOLOGY       	              3	     0.143
UNIV GENOA UNIGE                             	              3	     0.143
UNIVERSIDAD POLITECNICA DE MADRID            	              3	     0.143
UNIVERSIDADE DE LISBOA                       	              3	     0.143
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO UFRP	              3	     0.143
E                                            	               	          
UNIVERSITA CA FOSCARI VENEZIA                	              3	     0.143
UNIVERSITI MALAYSIA PERLIS                   	              3	     0.143
UNIVERSITI TEKNOLOGI PETRONAS                	              3	     0.143
UNIVERSITY OF ALBERTA                        	              3	     0.143
UNIVERSITY OF BASQUE COUNTRY                 	              3	     0.143
UNIVERSITY OF BUENOS AIRES                   	              3	     0.143
UNIVERSITY OF COLOGNE                        	              3	     0.143
UNIVERSITY OF COLORADO BOULDER               	              3	     0.143
UNIVERSITY OF COLORADO SYSTEM                	              3	     0.143
UNIVERSITY OF IOANNINA                       	              3	     0.143
UNIVERSITY OF LEEDS                          	              3	     0.143
UNIVERSITY OF LOUISIANA LAFAYETTE            	              3	     0.143
UNIVERSITY OF MALTA                          	              3	     0.143
UNIVERSITY OF MARYLAND BALTIMORE             	              3	     0.143
UNIVERSITY OF MISSOURI SYSTEM                	              3	     0.143
UNIVERSITY OF NEW SOUTH WALES SYDNEY         	              3	     0.143
UNIVERSITY OF NEWCASTLE                      	              3	     0.143
UNIVERSITY OF PITTSBURGH                     	              3	     0.143
UNIVERSITY OF PLYMOUTH                       	              3	     0.143
UNIVERSITY OF QUEBEC                         	              3	     0.143
UNIVERSITY OF SURREY                         	              3	     0.143
UNIVERSITY OF TORONTO                        	              3	     0.143
UNIVERSITY OF TRENTO                         	              3	     0.143
UNIVERSITY OF WOLLONGONG                     	              3	     0.143
UNIVERSITY SYSTEM OF MARYLAND                	              3	     0.143
UNIVERSITY SYSTEM OF OHIO                    	              3	     0.143
UTRECHT UNIVERSITY                           	              3	     0.143
VIETNAM NATIONAL UNIVERSITY HO CHI MINH CITY 	              3	     0.143
VNUHCM SYSTEM                                	               	          
VIGNAN S FOUNDATION FOR SCIENCE TECHNOLOGY RE	              3	     0.143
SEARCH VFSTR                                 	               	          
VIT VELLORE                                  	              3	     0.143
VNU HCM UNIVERSITY OF TECHNOLOGY HCMUT       	              3	     0.143
WARSAW UNIVERSITY OF LIFE SCIENCES           	              3	     0.143
WARSAW UNIVERSITY OF TECHNOLOGY              	              3	     0.143
AARHUS UNIVERSITY                            	              2	     0.096
ABDULLAH GUL UNIVERSITY                      	              2	     0.096
ADAMA SCIENCE TECHNOLOGY UNIVERSITY          	              2	     0.096
AEDIFICAT INST FREIBURG                      	              2	     0.096
AL JOUF UNIVERSITY                           	              2	     0.096
AMERICAN UNIVERSITY OF SHARJAH               	              2	     0.096
AMRAN UNIV                                   	              2	     0.096
AQABA UNIV TECHNOL                           	              2	     0.096
AZARBAIJAN SHAHID MADANI UNIVERSITY          	              2	     0.096
