Affiliations                                 	   Record Count	      % of 10,494
SOUTHERN TAIWAN UNIVERSITY OF SCIENCE TECHNOL	              2	     0.019
OGY                                          	               	          
SOUTHWEST MINZU UNIVERSITY                   	              2	     0.019
SPALLAT NEUTRON SOURCE SCI CTR               	              2	     0.019
SRI KRISHNA COLL TECHNOL                     	              2	     0.019
SRI KRISHNA COLLEGE OF ENGINEERING TECHNOLOGY	              2	     0.019
ST JOSEPH ENGINEERING COLLEGE                	              2	     0.019
ST PETERSBURG ACADEMIC UNIVERSITY            	              2	     0.019
STATE KEY LAB HIGH PERFORMANCE CIVIL ENGN MAT	              2	     0.019
SUEZ CANAL UNIVERSITY                        	              2	     0.019
SUNCHON NATIONAL UNIVERSITY                  	              2	     0.019
SUNRESINS NEW MAT CO LTD                     	              2	     0.019
SUNY COMMUNITY COLLEGE                       	              2	     0.019
SUWON UNIVERSITY                             	              2	     0.019
SUZHOU INSTITUTE OF BIOMEDICAL ENGINEERING TE	              2	     0.019
CHNOLOGY CAS                                 	               	          
SYMO CHEM BV                                 	              2	     0.019
TAISHAN UNIVERSITY                           	              2	     0.019
TAIYUAN INSTITUTE OF TECHNOLOGY              	              2	     0.019
TATA STEEL LTD                               	              2	     0.019
TECH VOCAT UNIV TVU                          	              2	     0.019
TECHNOLOGY INNOVATION INSTITUTE              	              2	     0.019
TIANJIN MUNICIPAL ENGN DESIGN RES INST       	              2	     0.019
TIANJIN UNIVERSITY OF COMMERCE               	              2	     0.019
TON DUC THANG UNIVERSITY                     	              2	     0.019
TSHWANE UNIVERSITY OF TECHNOLOGY             	              2	     0.019
TURK HAVA KURUMU UNIVERSITY                  	              2	     0.019
TURKISH AERONAUTICAL ASSOCIATION             	              2	     0.019
TVER STATE UNIVERSITY                        	              2	     0.019
TY LIN INT ENGN CONSULTING CHINA CO LTD      	              2	     0.019
ULM UNIVERSITY                               	              2	     0.019
UNICANCER                                    	              2	     0.019
UNITED STATES FOREST SERVICE                 	              2	     0.019
UNIV APPL SCI ARTS SOUTHERN SWITZERLAND      	              2	     0.019
UNIV TECHNOL CORP                            	              2	     0.019
UNIVERSIDAD AUTONOMA DE NUEVO LEON           	              2	     0.019
UNIVERSIDAD DE CONCEPCION                    	              2	     0.019
UNIVERSIDAD DE VALLADOLID                    	              2	     0.019
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO      	              2	     0.019
UNIVERSIDAD POLITECNICA DE CARTAGENA         	              2	     0.019
UNIVERSIDAD TECNOLOGICA METROPOLITANA        	              2	     0.019
UNIVERSIDADE DE BRASILIA                     	              2	     0.019
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA       	              2	     0.019
UNIVERSIDADE ESTADUAL DA PARAIBA             	              2	     0.019
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL   	              2	     0.019
UNIVERSIDADE FEDERAL DE OURO PRETO           	              2	     0.019
UNIVERSIDADE FEDERAL DE PELOTAS              	              2	     0.019
UNIVERSIDADE FEDERAL DO ABC UFABC            	              2	     0.019
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL    	              2	     0.019
UNIVERSITA CA FOSCARI VENEZIA                	              2	     0.019
UNIVERSITE CLERMONT AUVERGNE UCA             	              2	     0.019
UNIVERSITE COTE D AZUR                       	              2	     0.019
UNIVERSITE D ANGERS                          	              2	     0.019
UNIVERSITE DE BRETAGNE OCCIDENTALE           	              2	     0.019
UNIVERSITE DE ROUEN NORMANDIE                	              2	     0.019
UNIVERSITE DE SFAX                           	              2	     0.019
UNIVERSITE SAVOIE MONT BLANC                 	              2	     0.019
UNIVERSITY COLLEGE CORK                      	              2	     0.019
UNIVERSITY MASSACHUSETTS DARTMOUTH           	              2	     0.019
UNIVERSITY OF ALABAMA BIRMINGHAM             	              2	     0.019
UNIVERSITY OF ARKANSAS FAYETTEVILLE          	              2	     0.019
UNIVERSITY OF ARKANSAS SYSTEM                	              2	     0.019
UNIVERSITY OF BANJA LUKA UNIBL               	              2	     0.019
UNIVERSITY OF BRIGHTON                       	              2	     0.019
UNIVERSITY OF CAGLIARI                       	              2	     0.019
UNIVERSITY OF CALICUT                        	              2	     0.019
UNIVERSITY OF CALIFORNIA DAVIS               	              2	     0.019
UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL 	              2	     0.019
CENTER                                       	               	          
UNIVERSITY OF CALIFORNIA SANTA CRUZ          	              2	     0.019
UNIVERSITY OF CATANIA                        	              2	     0.019
UNIVERSITY OF DEBRECEN                       	              2	     0.019
UNIVERSITY OF DHAKA                          	              2	     0.019
UNIVERSITY OF FLORENCE                       	              2	     0.019
UNIVERSITY OF HYDERABAD                      	              2	     0.019
UNIVERSITY OF JYVASKYLA                      	              2	     0.019
UNIVERSITY OF KANSAS                         	              2	     0.019
UNIVERSITY OF KERALA                         	              2	     0.019
UNIVERSITY OF LATVIA                         	              2	     0.019
UNIVERSITY OF LIMERICK                       	              2	     0.019
UNIVERSITY OF MARYLAND BALTIMORE COUNTY      	              2	     0.019
UNIVERSITY OF MOHAGHEGH ARDABILI             	              2	     0.019
UNIVERSITY OF MUNICH                         	              2	     0.019
UNIVERSITY OF NAVARRA                        	              2	     0.019
UNIVERSITY OF NEVADA LAS VEGAS               	              2	     0.019
UNIVERSITY OF NEW ORLEANS                    	              2	     0.019
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICI	              2	     0.019
NE                                           	               	          
UNIVERSITY OF OTAGO                          	              2	     0.019
UNIVERSITY OF OTTAWA                         	              2	     0.019
UNIVERSITY OF OULU                           	              2	     0.019
UNIVERSITY OF PERUGIA                        	              2	     0.019
UNIVERSITY OF PRETORIA                       	              2	     0.019
UNIVERSITY OF ROCHESTER                      	              2	     0.019
UNIVERSITY OF ROSTOCK                        	              2	     0.019
UNIVERSITY OF SCIENCE TECHNOLOGY LIAONING    	              2	     0.019
UNIVERSITY OF SEVILLA                        	              2	     0.019
UNIVERSITY OF SPLIT                          	              2	     0.019
UNIVERSITY OF SURREY                         	              2	     0.019
UNIVERSITY OF TECHNOLOGY BRUNEI              	              2	     0.019
UNIVERSITY OF TOLEDO                         	              2	     0.019
UNIVERSITY OF TUN HUSSEIN ONN MALAYSIA       	              2	     0.019
UNIVERSITY OF VALENCIA                       	              2	     0.019
UNIVERSITY OF VIRGINIA                       	              2	     0.019
UNIVERSITY OF WAIKATO                        	              2	     0.019
UNIVERSITY OF WUPPERTAL                      	              2	     0.019
UNIVERSITY OF WURZBURG                       	              2	     0.019
UNIVERSITY OF YORK UK                        	              2	     0.019
UNIVERSITY OF ZURICH                         	              2	     0.019
UNIVERSITY SHIGA PREFECTURE                  	              2	     0.019
UNIVERSITY TORONTO SCARBOROUGH               	              2	     0.019
US FOOD DRUG ADMINISTRATION FDA              	              2	     0.019
UTRECHT UNIVERSITY MEDICAL CENTER            	              2	     0.019
VANDERBILT UNIVERSITY                        	              2	     0.019
VAVILOV STATE OPTICAL INSTITUTE              	              2	     0.019
VICTORIA UNIVERSITY WELLINGTON               	              2	     0.019
VIGNANS NIRULA INST TECHNOL SCI WOMEN        	              2	     0.019
WAPS CO LTD                                  	              2	     0.019
WASHINGTON LEE UNIVERSITY                    	              2	     0.019
WEIR ADV RES CTR                             	              2	     0.019
WICHITA STATE UNIVERSITY                     	              2	     0.019
WORCESTER POLYTECHNIC INSTITUTE              	              2	     0.019
WROCLAW UNIVERSITY OF SCIENCE TECHNOLOGY     	              2	     0.019
XI AN SHIYOU UNIVERSITY                      	              2	     0.019
XI AN UNIVERSITY                             	              2	     0.019
XICHANG UNIV                                 	              2	     0.019
XINJIANG MEDICAL UNIVERSITY                  	              2	     0.019
XUCHANG UNIVERSITY                           	              2	     0.019
YANTAI INST MAT MED                          	              2	     0.019
YEREVAN STATE UNIVERSITY                     	              2	     0.019
ZAGAZIG UNIVERSITY                           	              2	     0.019
ZANJAN UNIV MED SCI                          	              2	     0.019
ZHANGJIANG LABORATORY                        	              2	     0.019
ZHEJIANG GONGSHANG UNIVERSITY                	              2	     0.019
ZHEJIANG LABORATORY                          	              2	     0.019
ZHEJIANG PROVINCIAL PEOPLE S HOSPITAL        	              2	     0.019
ZHENJIANG COLL                               	              2	     0.019
2 CEMENTING CO                               	              1	     0.010
208 RES INST CHINA ORDNANCE IND              	              1	     0.010
3M                                           	              1	     0.010
56053 INST LAUE LANGEVIN ILL                 	              1	     0.010
9165 RWTH AACHEN UNIV                        	              1	     0.010
960TH HOSP PLA JOINT LOGISTICE SUPPORT FORCE 	              1	     0.010
A STAR INSTITUTE OF MOLECULAR CELL BIOLOGY IM	              1	     0.010
CB                                           	               	          
A STAR INSTITUTE OF SUSTAINABILITY FOR CHEMIC	              1	     0.010
ALS ENERGY ENVIRONMENT ISCE2                 	               	          
AAA COLL ENGN TECHNOL                        	              1	     0.010
AARUPADAI VEEDU INSTITUTE OF TECHNOLOGY      	              1	     0.010
ABBELIGHT                                    	              1	     0.010
ABDUL WALI KHAN UNIVERSITY                   	              1	     0.010
ABDULLAH GUL UNIVERSITY                      	              1	     0.010
ABES ENGN COLL                               	              1	     0.010
ABYLKAS SAGINOV KARAGANDA TECHNICAL UNIVERSIT	              1	     0.010
Y                                            	               	          
ACAD PEOPLES ARMED POLICE                    	              1	     0.010
ACAD SCI                                     	              1	     0.010
ACADIA UNIVERSITY                            	              1	     0.010
ACCUPATH MED JIAXING CO LTD                  	              1	     0.010
ACECR TEHRAN ORG                             	              1	     0.010
ACHARYA NAGARJUNA UNIVERSITY                 	              1	     0.010
ACHARYA NARENDRA DEV KISAN POST GRAD COLL    	              1	     0.010
ACHIRA LABS PVT LTD                          	              1	     0.010
ACTEGA TERRA GMBH                            	              1	     0.010
ADAPTIVE3D TECHNOL                           	              1	     0.010
ADDIT MFG AM GRP                             	              1	     0.010
ADNAN MENDERES UNIVERSITY                    	              1	     0.010
AECC BEIJING INST AERONAUT MAT               	              1	     0.010
AEDIFICAT INST FREIBURG                      	              1	     0.010
AEMG ACAD                                    	              1	     0.010
AEOLUS TYRE CO LTD                           	              1	     0.010
AEROSP MALAYSIA INNOVAT CTR 944751A          	              1	     0.010
AEROSPACE CORPORATION USA                    	              1	     0.010
AFE BABALOLA UNIV                            	              1	     0.010
AFRL PRSM                                    	              1	     0.010
AFYON KOCATEPE UNIVERSITY                    	              1	     0.010
AGA KHAN UNIVERSITY                          	              1	     0.010
AGR PROD PROC RES INST                       	              1	     0.010
AGRICULTURAL UNIVERSITY OF ATHENS            	              1	     0.010
AGROPARISTECH                                	              1	     0.010
AHMEDABAD UNIVERSITY                         	              1	     0.010
AICHI INST TECHNOL                           	              1	     0.010
AIR FORCE MILITARY MEDICAL UNIVERSITY        	              1	     0.010
AIR FORCE RES LAB MUNIT DIRECTORATE          	              1	     0.010
AKINA INC                                    	              1	     0.010
AKS UNIV                                     	              1	     0.010
AKWA IBOM STATE UNIV                         	              1	     0.010
AKZONOBEL AUTOMOT AEROSP COATINGS            	              1	     0.010
AL AZHAR UNIVERSITY GAZA                     	              1	     0.010
AL BAHA UNIVERSITY                           	              1	     0.010
AL BALQA APPLIED UNIV                        	              1	     0.010
AL FARABI KAZAKH NATIONAL UNIVERSITY         	              1	     0.010
AL JOUF UNIVERSITY                           	              1	     0.010
AL KARKH UNIVERSITY OF SCIENCE               	              1	     0.010
AL MUSTAQBAL UNIVERSITY COLLEGE              	              1	     0.010
ALBERT LUDWIGS UNIV FREIBURG                 	              1	     0.010
ALEXANDRU IOAN CUZA UNIVERSITY               	              1	     0.010
ALFA BK UNIV                                 	              1	     0.010
ALISTORE EUROPEAN RES INST                   	              1	     0.010
ALL INDIA INSTITUTE OF MEDICAL SCIENCES AIIMS	              1	     0.010
NEW DELHI                                    	               	          
ALLEGHENY GENERAL HOSPITAL                   	              1	     0.010
ALLIANCE UNIVERSITY                          	              1	     0.010
ALTAMASH INST DENT MED                       	              1	     0.010
AMAR SINGH COLLEGE                           	              1	     0.010
AMASYA UNIV TECH SCI                         	              1	     0.010
AMASYA UNIV TECH SCI VOCAT                   	              1	     0.010
AMER SOC ENGN EDUC                           	              1	     0.010
AMERALABS                                    	              1	     0.010
AMERICAN UNIVERSITY OF BEIRUT                	              1	     0.010
AMERICAN UNIVERSITY OF THE MIDDLE EAST       	              1	     0.010
AMET DEEMED BE UNIV                          	              1	     0.010
AMO GMBH                                     	              1	     0.010
AMOLF                                        	              1	     0.010
AMRITA VISHWA VIDYAPEETHAM                   	              1	     0.010
AMRITA VISHWA VIDYAPEETHAM COIMBATORE        	              1	     0.010
AMS OSRAM INT GMBH                           	              1	     0.010
AMSEN                                        	              1	     0.010
ANALYT JENA AG                               	              1	     0.010
ANHUI DEEIOT ENERGY TECHNOL CO LTD           	              1	     0.010
ANHUI HIGH RELIABIL CHIPS ENGN LAB           	              1	     0.010
ANHUI YUAN CHEN ENVIRONM PROTECT TECHNOL CO L	              1	     0.010
TD                                           	               	          
ANJING UNIV SCI TECHNOL                      	              1	     0.010
ANKANG COMMUN CONSTRUCT INVESTMENT GRP CO LTD	              1	     0.010
ANKARA HACI BAYRAM VELI UNIVERSITY           	              1	     0.010
ANKARA UNIVERSITY                            	              1	     0.010
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHI	              1	     0.010
CAGO                                         	               	          
ANQING NORMAL UNIVERSITY                     	              1	     0.010
ANTA SPORTS PROD LTD                         	              1	     0.010
ANTEON INC                                   	              1	     0.010
ANTON PAAR CANADA INC                        	              1	     0.010
ANTON PAAR JAPAN K K                         	              1	     0.010
ANTON PAAR USA INC                           	              1	     0.010
ANURAG UNIV                                  	              1	     0.010
ANYANG NORMAL UNIVERSITY                     	              1	     0.010
APOLLO TYRES LTD                             	              1	     0.010
APPALACHIAN STATE UNIVERSITY                 	              1	     0.010
APPL MINERALS INC                            	              1	     0.010
ARABIAN GULF UNIVERSITY                      	              1	     0.010
ARAGEN LIFE SCI PVT LTD                      	              1	     0.010
ARAMCO SERVICES COMPANY ASC                  	              1	     0.010
ARCELORMITTAL                                	              1	     0.010
ARCTOS TECHNOL SOLUT                         	              1	     0.010
ARDABIL UNIVERSITY OF MEDICAL SCIENCES       	              1	     0.010
ARIANEGRP                                    	              1	     0.010
ARKI ADV CONSTRUCT CHEM CO LTD               	              1	     0.010
ARMY ACAD                                    	              1	     0.010
ARUP GRP LTD                                 	              1	     0.010
ASAHIKAWA MEDICAL COLLEGE                    	              1	     0.010
ASHINE ADV CARBON MAT CO LTD                 	              1	     0.010
ASIA PACIFIC CENTER FOR THEORETICAL PHYSICS  	              1	     0.010
ASIA PACIFIC UNIV TECHNOL                    	              1	     0.010
ASIAN PAINTS RES TECHNOL CTR                 	              1	     0.010
ASSIUT UNIVERSITY                            	              1	     0.010
ASTRAKHAN STATE UNIVERSITY                   	              1	     0.010
ASTRAZENECA                                  	              1	     0.010
ATATURK UNIVERSITY                           	              1	     0.010
ATLANTIC TECHNOLOGICAL UNIVERSITY ATU        	              1	     0.010
ATSP INNOVAT INC                             	              1	     0.010
AUGSBURG UNIVERSITY                          	              1	     0.010
AUSTRIA TECHNOL SYSTEMTECHN AT S AKTIENGESELL	              1	     0.010
SCH                                          	               	          
AUSTRIAN ACADEMY OF SCIENCES                 	              1	     0.010
AUTONOM MAT INC                              	              1	     0.010
AUTONOMOUS UNIVERSITY OF MADRID              	              1	     0.010
AV MFG TECHNOL INST                          	              1	     0.010
AVIAT IND CORP CHINA LTD                     	              1	     0.010
AVIC MFG TECHNOL INST COMPOSITE TECHNOL CTR  	              1	     0.010
AVIC TOUCHSTONE TESTING TECHNOL DACHANG CO LT	              1	     0.010
D                                            	               	          
AVX CZECH REPUBL SRO                         	              1	     0.010
AZARBAIJAN SHAHID MADANI UNIVERSITY          	              1	     0.010
AZERBAIJAN NATIONAL ACADEMY OF SCIENCES ANAS 	              1	     0.010
AZIMUTH CORP                                 	              1	     0.010
B H U                                        	              1	     0.010
BABOL NOSHIRVANI UNIV OF TECHNOL             	              1	     0.010
BAHAUDDIN ZAKARIYA UNIVERSITY                	              1	     0.010
BAKER HEART AND DIABETES INSTITUTE           	              1	     0.010
BALOCHISTAN UNIVERSITY OF INFORMATION TECHNOL	              1	     0.010
OGY ENGINEERING MANAGEMENT SCIENCES BUITEMS  	               	          
BANGLADESH COUNCIL OF SCIENTIFIC INDUSTRIAL R	              1	     0.010
ESEARCH BCSIR                                	               	          
BANGOR UNIVERSITY                            	              1	     0.010
BANNARI AMMAN INSTITUTE OF TECHNOLOGY        	              1	     0.010
BAR ILAN UNIVERSITY                          	              1	     0.010
BARCELONA INST SCI TECHNOL BIST              	              1	     0.010
BARNARD COLL                                 	              1	     0.010
BASF CORP CALIF RES ALLIANCE                 	              1	     0.010
BASQUE RES TECHNOL ALLIANCE BRTA             	              1	     0.010
BATTELLE MEMORIAL INSTITUTE                  	              1	     0.010
BAYER AG                                     	              1	     0.010
BAYLOR COLLEGE MEDICAL HOSPITAL              	              1	     0.010
BAYLOR COLLEGE OF MEDICINE                   	              1	     0.010
BCSA ENGN                                    	              1	     0.010
BECKMAN INST                                 	              1	     0.010
BEI HANG UNIV                                	              1	     0.010
BEIBU GULF UNIVERSITY                        	              1	     0.010
BEIJING ADV INNOVAT CTR SOFT MATTER SCI ENGN 	              1	     0.010
BEIJING BLDG MAT ACAD SCI RES                	              1	     0.010
BEIJING DREAM INK TECHNOL CO LTD             	              1	     0.010
BEIJING ENGN RES CTR SYNTH APPLICAT WATERBORN	              1	     0.010
E                                            	               	          
BEIJING HYPERSTRONG TECHNOL CO LTD           	              1	     0.010
BEIJING INST AEROSP TESTING TECHNOL          	              1	     0.010
BEIJING INST ENVIRONM FEATURES               	              1	     0.010
BEIJING INST G COMMUN                        	              1	     0.010
BEIJING INST GRAPH COMMUN                    	              1	     0.010
BEIJING INST HOUSING URBAN RURAL CONSTRUCT SC	              1	     0.010
I                                            	               	          
BEIJING INST TECHNOL CHINA                   	              1	     0.010
BEIJING INSTITUTE OF PETROCHEMICAL TECHNOLOGY	              1	     0.010
BEIJING KEY LAB PIPELINE CRIT TECHNOL EQUIPME	              1	     0.010
NT                                           	               	          
BEIJING KEY LAB REGENERAT MED ORTHOPED       	              1	     0.010
BEIJING RISUN SCI TECHNOL CO LTD             	              1	     0.010
BEIJING SHOUFA TIANREN ECOL LANDSCAPE CO LTD 	              1	     0.010
BEIJING SYST ENGN INST                       	              1	     0.010
BEIJING UNION UNIVERSITY                     	              1	     0.010
BEIJING UNIVERSITY OF CIVIL ENGINEERING ARCHI	              1	     0.010
TECTURE                                      	               	          
BEIJING WELION NEW ENERGY TECHNOL CO LTD     	              1	     0.010
BEIJING YINGLONG TECHNOL CO LTD              	              1	     0.010
BEIJING ZHONGLU GAOKE HIGHWAY TECHNOL CO LTD 	              1	     0.010
BEITOU MAINTENANCE TECHNOL GRP               	              1	     0.010
BGMEA UNIV FASH TECHNOL                      	              1	     0.010
BHARATI VIDYAPEETH DEEMED UNIVERSITY         	              1	     0.010
BHARATI VIDYAPEETH DEEMED UNIVERSITY COLLEGE 	              1	     0.010
OF ENGINEERING                               	               	          
BINZHOU INST TECHNOL                         	              1	     0.010
BIOARABA HEALTH RESEARCH INSTITUTE           	              1	     0.010
BIOFIBER TECH SWEDEN AB                      	              1	     0.010
BIOFRIENDS INC                               	              1	     0.010
BIOKON                                       	              1	     0.010
BIOLAND LAB                                  	              1	     0.010
BIOLITEC AG                                  	              1	     0.010
BIOMED RES NETWORKING CTR BIOENGN BIOMAT NANO	              1	     0.010
MED                                          	               	          
BIRKBECK UNIVERSITY LONDON                   	              1	     0.010
BIRLA CARBON                                 	              1	     0.010
BITLIS EREN UNIVERSITY                       	              1	     0.010
BLAFAR LTD                                   	              1	     0.010
BOAO EVERGRANDE INT HOSP                     	              1	     0.010
BOEING RES TECHNOL                           	              1	     0.010
BOTSWANA MEDICINES REGULATORY AUTHOR BOMRA   	              1	     0.010
BOWLING GREEN STATE UNIVERSITY               	              1	     0.010
BP                                           	              1	     0.010
BRANCH NATL INST OCCUPAT SAFETY HLTH ENVIRONM	              1	     0.010
BRANDENBURG UNIVERSITY OF TECHNOLOGY COTTBUS 	              1	     0.010
BRASKEM                                      	              1	     0.010
BRAWIJAYA UNIVERSITY                         	              1	     0.010
BREMEN UNIVERSITY OF APPLIED SCIENCES        	              1	     0.010
BRIDGESTONE CORPORATION                      	              1	     0.010
BRIDGESTONE EU NV SA                         	              1	     0.010
BROCK UNIVERSITY                             	              1	     0.010
BRUCE S BERNSTEIN CONSULTING LLC             	              1	     0.010
BRUKER BIOSPIN GMBH                          	              1	     0.010
BTR NEW MAT GRP CO LTD                       	              1	     0.010
BU ALI SINA UNIVERSITY                       	              1	     0.010
BUCKNELL UNIVERSITY                          	              1	     0.010
BUNDELKHAND UNIVERSITY                       	              1	     0.010
BUR AGR RURAL AFFAIRS DONGGANG DIST          	              1	     0.010
BUR RECLAMAT                                 	              1	     0.010
BUR VERITAS                                  	              1	     0.010
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES 	              1	     0.010
BRGM                                         	               	          
BURSA TECHNICAL UNIVERSITY                   	              1	     0.010
BYD AUTOMOBILE IND CO LTD                    	              1	     0.010
C ABDUL HAKEEM COLL                          	              1	     0.010
C ABDUL HAKEEM COLLEGE OF ENGINEERING TECHNOL	              1	     0.010
OGY                                          	               	          
CADI AYYAD UNIVERSITY OF MARRAKECH           	              1	     0.010
CALUT CO HOLDING                             	              1	     0.010
CAMPUS RES EXCELLENCE TECHNOL ENTERPRISE CREA	              1	     0.010
TE                                           	               	          
CAN THO UNIVERSITY                           	              1	     0.010
CANADIAN CTR REGENERAT THERAPY               	              1	     0.010
CANADIAN GEN TOWER CHANGSHU CO LTD           	              1	     0.010
CANAKKALE ONSEKIZ MART UNIVERSITY            	              1	     0.010
CAPITAL NORMAL UNIVERSITY                    	              1	     0.010
CAPITAL UNIV MED SCI                         	              1	     0.010
CAPITAL UNIVERSITY OF PHYSICAL EDUCATION AND 	              1	     0.010
SPORTS                                       	               	          
CARL ZEISS AG                                	              1	     0.010
CARLETON UNIVERSITY                          	              1	     0.010
CART TIRE CO LTD                             	              1	     0.010
CASH GCC NANXIONG RES INST ADV MAT CO LTD    	              1	     0.010
CATALAN INSTITUTE OF NANOSCIENCE NANOTECHNOLO	              1	     0.010
GY ICN2                                      	               	          
CATALYSE CO                                  	              1	     0.010
CBN NANOTECHNOL INC                          	              1	     0.010
CCCC FIRST HARBOR CONSULTANTS CO LTD         	              1	     0.010
CCCC THCQ ECOL RESTORAT RES INST CO LTD C    	              1	     0.010
CCS HARYANA AGRICULTURAL UNIVERSITY          	              1	     0.010
CEAT LTD                                     	              1	     0.010
CEC NEW ENERGY WUHAN RES INST CO LTD         	              1	     0.010
CEDARS SINAI MEDICAL CENTER                  	              1	     0.010
CEGASA ENERGIA SLU                           	              1	     0.010
CELLARTGEN INC                               	              1	     0.010
CELLUFORCE INC                               	              1	     0.010
CENT HOSP XIAN                               	              1	     0.010
CENT INST PLAST ENGN TECHNOL CIPET           	              1	     0.010
CENT INST TECHNOL KOKRAJHAR                  	              1	     0.010
CENTER FOR EXCELLENCE IN BRAIN SCIENCE AND IN	              1	     0.010
TELLIGENCE TECHNOLOGY CAS                    	               	          
CENTER FOR PHYSICAL SCIENCES TECHNOLOGY LITHU	              1	     0.010
ANIA                                         	               	          
CENTER OF INNOVATIVE APPLIED BIOPROCESSING CI	              1	     0.010
AB                                           	               	          
CENTIVAX INC                                 	              1	     0.010
CENTRAL CONNECTICUT STATE UNIVERSITY         	              1	     0.010
CENTRAL METALLURGICAL RESEARCH DEVELOPMENT IN	              1	     0.010
STITUTE CMRDI                                	               	          
CENTRO INTERDISCIPLINAR DE QUIMICA E BIOLOXIA	              1	     0.010
CICA                                         	               	          
CENTRO INVESTIGAC BIOL                       	              1	     0.010
CENTRO NACIONAL DE INVESTIGACIONES ONCOLOGICA	              1	     0.010
S CNIO                                       	               	          
CENTRO NACIONAL PATAGONICO CENPAT            	              1	     0.010
CENTRO UNIVERSITARIO CENTRAL PAULISTA        	              1	     0.010
CFA                                          	              1	     0.010
CH2M HILL                                    	              1	     0.010
CHAIN WALKING NEW MAT TECHNOL GUANGZHOU CO LT	              1	     0.010
D                                            	               	          
CHAN ZUCKERBERG BIOHUB CHICAGO               	              1	     0.010
CHANG GUNG MEMORIAL HOSPITAL                 	              1	     0.010
CHANG GUNG UNIV                              	              1	     0.010
CHANGCHUN UNIVERSITY OF CHINESE MEDICINE     	              1	     0.010
CHANGJI UNIVERSITY                           	              1	     0.010
CHANGQING ENGN DESIGN CO LTD                 	              1	     0.010
CHANGSHA UNIVERSITY                          	              1	     0.010
CHANGZHOU BLEST LITHIUM SMART FACTORY CO LTD 	              1	     0.010
CHANGZHOU VOCATIONAL INSTITUTE OF MECHATRONIC	              1	     0.010
TECHNOLOGY                                   	               	          
CHANJIANG INST SURVEY PLANNING DESIGN RES    	              1	     0.010
CHAOYANG UNIVERSITY OF TECHNOLOGY            	              1	     0.010
CHAPMAN UNIVERSITY                           	              1	     0.010
CHAPMAN UNIVERSITY SYSTEM                    	              1	     0.010
CHAUDHARY CHARAN SINGH UNIVERSITY            	              1	     0.010
CHEM BIOL LAB SAFE SRL                       	              1	     0.010
CHEM ENGN DEPT                               	              1	     0.010
CHEM PROC TECHNOL SCH                        	              1	     0.010
CHEM TECHNOL ACAD SHANDONG PROV              	              1	     0.010
CHEMALIVE LLC                                	              1	     0.010
CHENGDU LEPS TECHNOL CO LTD                  	              1	     0.010
CHENGDU SCI TECHNOL DEV CTR                  	              1	     0.010
CHENGDU SHISHI HIGH SCH                      	              1	     0.010
CHENGDU VOCAT TECH COLL IND                  	              1	     0.010
CHENNAI INSTITUTE OF TECHNOLOGY              	              1	     0.010
CHICAGO MEDICAL SCHOOL                       	              1	     0.010
CHICAGO STATE UNIVERSITY                     	              1	     0.010
CHILDREN S HEALTHCARE OF ATLANTA CHOA        	              1	     0.010
CHILDREN S HOSPITAL COLORADO                 	              1	     0.010
CHILDREN S HOSPITAL RESEARCH INSTITUTE OF MAN	              1	     0.010
ITOBA                                        	               	          
CHINA ACAD AEROSP AERODYNAM                  	              1	     0.010
CHINA ACAD AEROSP SCI INNOVAT                	              1	     0.010
CHINA ACAD MACHINERY WUHAN RES INST MAT PROTE	              1	     0.010
CT CO                                        	               	          
CHINA ACAD RAILWAY SCI                       	              1	     0.010
CHINA ACAD SPACE TECHNOL CAST                	              1	     0.010
CHINA ACADEMY OF CHINESE MEDICAL SCIENCES    	              1	     0.010
CHINA AERODYNAM RES DEV CTR                  	              1	     0.010
CHINA AEROSPACE SCIENCE INDUSTRY CORPORATION 	              1	     0.010
CASIC                                        	               	          
CHINA AGRICULTURAL UNIVERSITY                	              1	     0.010
CHINA AUTOMOT BATTERY RES INST               	              1	     0.010
CHINA AUTOMOT BATTERY RES INST CO LTD        	              1	     0.010
CHINA BLDG MAT FEDERAT                       	              1	     0.010
CHINA COMMUN HIGHWAY PLANNING DESIGN INST CO 	              1	     0.010
LT                                           	               	          
CHINA CONSTRUCT MAT IND                      	              1	     0.010
CHINA CONSTRUCT PORT GRP CO LTD              	              1	     0.010
CHINA CONSTRUCT RAILWAY INVESTMENT RAIL TRAFF	              1	     0.010
CONS                                         	               	          
CHINA CONSTRUCT SEVENTH ENGN DIV CORP LTD    	              1	     0.010
CHINA HUANENG CLEAN ENERGY RES INST          	              1	     0.010
CHINA INST ZHEJIANG UNIV QUZHOU              	              1	     0.010
CHINA INSTITUTE OF ATOMIC ENERGY             	              1	     0.010
CHINA JILIANG UNIVERSITY                     	              1	     0.010
CHINA NATIONAL TOBACCO CORPORATION           	              1	     0.010
CHINA NONFERROUS MET GUILIN GEOL MIN CO LTD  	              1	     0.010
