Affiliations                                 	   Record Count	      % of 10,494
CHUNG YUAN CHRISTIAN UNIVERSITY              	             14	     0.133
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENC	             14	     0.133
ES INSIS                                     	               	          
CNRS INSTITUTE OF PHYSICS INP                	             14	     0.133
FREE UNIVERSITY OF BERLIN                    	             14	     0.133
GUANGZHOU UNIVERSITY                         	             14	     0.133
INSTITUTE FOR BASIC SCIENCE KOREA IBS        	             14	     0.133
IRAN UNIVERSITY SCIENCE TECHNOLOGY           	             14	     0.133
KING FAHD UNIVERSITY OF PETROLEUM MINERALS   	             14	     0.133
MATERIALS SCIENCE ENGINEERING                	             14	     0.133
NANJING MEDICAL UNIVERSITY                   	             14	     0.133
NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY     	             14	     0.133
PETER THE GREAT ST PETERSBURG POLYTECHNIC UNI	             14	     0.133
VERSITY                                      	               	          
POLYMER COMPETENCE CTR LEOBEN GMBH           	             14	     0.133
POLYTECHNIQUE MONTREAL                       	             14	     0.133
SAMSUNG                                      	             14	     0.133
SINOPEC                                      	             14	     0.133
UNIVERSITE DE BORDEAUX                       	             14	     0.133
UNIVERSITY OF ALABAMA SYSTEM                 	             14	     0.133
UNIVERSITY OF LIVERPOOL                      	             14	     0.133
UNIVERSITY OF MELBOURNE                      	             14	     0.133
UNIVERSITY OF TULSA                          	             14	     0.133
UNIVERSITY OF UTAH                           	             14	     0.133
XI AN UNIVERSITY OF ARCHITECTURE TECHNOLOGY  	             14	     0.133
YANGZHOU UNIVERSITY                          	             14	     0.133
YEUNGNAM UNIVERSITY                          	             14	     0.133
AARHUS UNIVERSITY                            	             13	     0.124
CENTRE OF MOLECULAR MACROMOLECULAR STUDIES OF	             13	     0.124
THE POLISH ACADEMY OF SCIENCES               	               	          
CHONNAM NATIONAL UNIVERSITY                  	             13	     0.124
CRANFIELD UNIVERSITY                         	             13	     0.124
DALIAN POLYTECHNIC UNIVERSITY                	             13	     0.124
HUNAN UNIVERSITY OF TECHNOLOGY               	             13	     0.124
IOFFE PHYSICAL TECHNICAL INSTITUTE           	             13	     0.124
K N TOOSI UNIVERSITY OF TECHNOLOGY           	             13	     0.124
KOREA INSTITUTE OF INDUSTRIAL TECHNOLOGY KITE	             13	     0.124
CH                                           	               	          
LUXEMBOURG INSTITUTE OF SCIENCE TECHNOLOGY   	             13	     0.124
MONASH UNIVERSITY MALAYSIA                   	             13	     0.124
NANCHANG HANGKONG UNIVERSITY                 	             13	     0.124
NATIONAL AERONAUTICS SPACE ADMINISTRATION NAS	             13	     0.124
A                                            	               	          
NATIONAL TECHNICAL UNIVERSITY OF ATHENS      	             13	     0.124
NORTHEAST PETROLEUM UNIVERSITY               	             13	     0.124
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NT	             13	     0.124
NU                                           	               	          
RICE UNIVERSITY                              	             13	     0.124
SHARIF UNIVERSITY OF TECHNOLOGY              	             13	     0.124
SOUTHWEST UNIVERSITY CHINA                   	             13	     0.124
TECHNICAL UNIVERSITY OF DENMARK              	             13	     0.124
TECHNICAL UNIVERSITY OF MUNICH               	             13	     0.124
UNIVERSITY OF CONNECTICUT                    	             13	     0.124
UNIVERSITY OF DELAWARE                       	             13	     0.124
UNIVERSITY OF NEW SOUTH WALES SYDNEY         	             13	     0.124
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL     	             13	     0.124
UNIVERSITY OF NOTTINGHAM                     	             13	     0.124
UNIVERSITY OF QUEBEC                         	             13	     0.124
UNIVERSITY OF QUEENSLAND                     	             13	     0.124
UNIVERSITY OF TRENTO                         	             13	     0.124
UNIVERSITY OF TWENTE                         	             13	     0.124
US AIR FORCE RESEARCH LABORATORY             	             13	     0.124
WUHAN UNIVERSITY OF SCIENCE TECHNOLOGY       	             13	     0.124
AIX MARSEILLE UNIVERSITE                     	             12	     0.114
