sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
NZ;PCT/US2023/068956;816821;D;;
NZ;PCT/GB2023/051494;817422;D;;
NZ;PCT/US2023/068806;816903;D;;
NZ;PCT/EP2023/066647;817324;D;;
NZ;PCT/US2023/068298;817116;G;;
NZ;PCT/US2023/026331;817375;G;;
NZ;PCT/IB2023/056620;816861;R;;
NZ;PCT/NL2023/050273;817257;R;;
NZ;PCT/EP2023/069299;817147;R;;
NZ;PCT/US2023/023586;816849;W;;
NZ;PCT/US2023/070306;816882;W;;
NZ;PCT/US2023/067064;817192;W;;
NZ;PCT/EP2023/062404;816820;C;;
NZ;PCT/US2023/068555;817328;C;;
NZ;PCT/AU2023/050470;817417;D;;
NZ;PCT/US2021/022322;817031;D;;
NZ;PCT/EP2023/068805;816985;D;;
NZ;PCT/CN2023/096076;816516;G;;
NZ;PCT/EP2023/066817;817145;G;;
NZ;PCT/JP2023/021735;817058;G;;
NZ;PCT/EP2023/067952;817329;R;;
NZ;PCT/CN2023/099267;816972;R;;
NZ;PCT/GB2023/051292;817094;R;;
NZ;PCT/EP2023/070938;816871;W;;
NZ;PCT/EP2023/065608;817349;W;;
NZ;PCT/EP2023/068443;816876;C;;
NZ;PCT/IB2022/056438;817137;C;;
NZ;PCT/GB2023/051230;816934;C;;
NZ;PCT/EP2023/062589;816801;D;;
NZ;PCT/US2023/024152;816874;D;;
NZ;PCT/CN2023/098264;817040;D;;
NZ;PCT/CN2023/091259;816564;G;;
NZ;PCT/US2023/024956;817120;G;;
NZ;PCT/AU2023/050562;817203;G;;
NZ;PCT/NZ2023/050052;816044;R;;
NZ;PCT/CN2022/107593;817361;R;;
NZ;PCT/EP2023/063472;816883;W;;
NZ;PCT/AU2022/050817;816901;W;;
NZ;PCT/US2023/024944;817032;W;;
NZ;PCT/EP2023/066436;816433;C;;
NZ;PCT/US2023/021060;816587;C;;
NZ;PCT/US2023/067918;817151;C;;
NZ;PCT/KR2023/008062;817111;W;;
NZ;PCT/AU2023/050609;817342;C;;
NZ;PCT/EP2023/065438;817011;C;;
NZ;PCT/US2023/069124;817201;C;;
NZ;PCT/US2023/067250;816852;D;;
NZ;PCT/US2023/067487;817357;D;;
NZ;PCT/CN2023/098246;817042;G;;
NZ;PCT/US2023/068828;817362;G;;
NZ;PCT/CN2023/094714;816799;R;;
NZ;PCT/US2023/027013;817314;R;;
NZ;PCT/CA2023/050698;817119;R;;
NZ;PCT/FI2023/050413;816738;W;;
NZ;PCT/US2023/024898;817123;W;;
NZ;PCT/US2023/022733;817206;W;;
NZ;PCT/AU2023/050384;817008;C;;
NZ;PCT/US2023/025780;817354;C;;
NZ;PCT/IB2023/056626;816862;D;;
NZ;PCT/US2022/033213;816842;D;;
NZ;PCT/US2023/067008;817034;D;;
NZ;PCT/JP2023/025527;816798;G;;
NZ;PCT/JP2023/024180;816689;G;;
NZ;PCT/US2023/067919;817129;G;;
NZ;PCT/EP2023/071064;816836;R;;
NZ;PCT/NZ2023/050082;817143;R;;
NZ;PCT/SE2023/050641;817189;R;;
NZ;PCT/CN2023/098081;816973;W;;
NZ;PCT/US2023/027741;817376;W;;
NZ;PCT/IB2023/056611;816867;C;;
NZ;PCT/US2023/027420;816815;C;;
NZ;PCT/US2023/068426;817078;C;;
NZ;PCT/CN2023/098076;816847;D;;
NZ;PCT/NZ2023/050060;816866;D;;
NZ;PCT/IB2023/056513;817200;D;;
NZ;PCT/US2023/021812;816841;G;;
NZ;PCT/US2023/069358;817271;G;;
NZ;PCT/US2023/024719;817079;G;;
NZ;PCT/EP2023/062582;816812;R;;
NZ;PCT/US2023/074061;817387;R;;
NZ;PCT/IL2023/050449;816739;W;;
NZ;PCT/EP2023/072293;817202;W;;
NZ;PCT/US2023/068831;817186;R;;
NZ;PCT/US2023/025384;817374;R;;
NZ;PCT/US2023/027009;816802;W;;
NZ;PCT/US2023/024073;816719;W;;
NZ;PCT/IB2023/057033;817110;W;;
NZ;PCT/US2023/069410;816832;C;;
NZ;PCT/US2023/027438;817176;C;;
NZ;PCT/SE2023/050643;817197;C;;
NZ;PCT/CN2023/103576;817128;D;;
NZ;PCT/KR2023/006480;816893;D;;
NZ;PCT/US2023/073033;817449;G;;
NZ;PCT/US2023/024721;817080;G;;
NZ;PCT/EP2023/063424;816898;G;;
NZ;PCT/DK2023/050129;816716;R;;
NZ;PCT/IB2023/056622;816845;R;;
NZ;PCT/EP2023/072376;817148;R;;
NZ;PCT/US2023/066349;816713;W;;
NZ;PCT/US2023/069704;817390;W;;
NZ;PCT/US2023/027456;817248;W;;
NZ;PCT/EP2023/069447;816835;C;;
NZ;PCT/CN2023/101761;817391;C;;
NZ;PCT/CN2023/098011;816766;D;;
NZ;PCT/SE2023/050642;817195;D;;
NZ;PCT/EP2023/067403;817064;D;;
NZ;PCT/US2023/023770;816712;G;;
NZ;PCT/IB2023/054501;816705;G;;
NZ;PCT/EP2023/064122;817052;G;;
NZ;PCT/GB2023/051492;816786;R;;
NZ;PCT/NO2023/060015;817441;R;;
NZ;PCT/CN2023/101302;817409;W;;
NZ;PCT/US2023/026528;817068;W;;
NZ;PCT/EP2023/071118;817421;W;;
NZ;PCT/AU2023/050482;816717;C;;
NZ;PCT/AU2023/050641;817275;C;;
NZ;PCT/AU2023/050454;817122;C;;
NZ;PCT/GB2023/051401;816752;D;;
NZ;PCT/JP2023/021978;817150;D;;
NZ;PCT/CN2024/095625;817227;D;;
NZ;PCT/GB2023/051393;816828;G;;
NZ;PCT/NZ2023/050056;817276;G;;
NZ;PCT/US2023/070897;817330;R;;
NZ;PCT/US2023/021153;816936;G;;
NZ;PCT/US2023/069968;817323;G;;
NZ;PCT/US2023/068832;817368;R;;
NZ;PCT/US2023/070016;817284;R;;
NZ;PCT/AU2023/050583;816978;R;;
NZ;PCT/EP2023/069087;816725;W;;
NZ;PCT/US2022/035254;817075;W;;
NZ;PCT/JP2023/018892;817055;W;;
NZ;PCT/AU2023/050490;816793;C;;
NZ;PCT/US2023/025385;817402;C;;
NZ;PCT/US2023/069801;817388;D;;
NZ;PCT/US2023/023445;816971;D;;
NZ;PCT/AU2023/050619;817429;D;;
NZ;PCT/US2023/025386;817385;G;;
NZ;PCT/US2023/024679;817041;G;;
NZ;PCT/US2023/068486;816989;G;;
NZ;PCT/IB2023/054044;816797;R;;
NZ;PCT/US2023/024723;817252;R;;
NZ;PCT/CN2023/102500;816991;R;;
NZ;PCT/IB2023/056152;816818;W;;
NZ;PCT/IB2023/000312;817229;W;;
NZ;PCT/CN2023/099158;817396;C;;
NZ;PCT/EP2023/069483;817193;C;;
NZ;PCT/EP2023/065558;817457;C;;
NZ;PCT/GB2023/051260;816569;D;;
NZ;PCT/GB2023/051183;816814;D;;
NZ;PCT/US2023/067220;817114;D;;
NZ;PCT/AU2023/050526;816833;G;;
NZ;PCT/EP2023/065588;816859;G;;
NZ;PCT/EP2023/063538;817157;G;;
NZ;PCT/US2023/069331;816858;R;;
NZ;PCT/US2023/023949;817322;R;;
NZ;PCT/US2023/025389;817399;W;;
